,"name_of_satellite,_alternate_names",current_official_name_of_satellite,country/org_of_un_registry,country_of_operator/owner,operator/owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_(degrees),perigee_(km),apogee_(km),eccentricity,inclination_(degrees),period_(minutes),launch_mass_(kg_),dry_mass_(kg_),power_(watts),date_of_launch,expected_lifetime_(yrs_),contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,source_used_for_orbital_data,source
1723,"Meteosat 9 (MSGalaxy-2, MSG 2)",Meteosat 9,EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"['Civil', 'Government']",Earth Observation,"['Earth Science', 'Meterology']",GEO,,0.02,35775.0,35795.0,0.0002372197841299,0.29,1436.0,2000.0,1000.0,700.0,2005-12-21 00:00:00,12.0,Alcatel Alenia Space,"['France', 'Italy']",Guiana Space Center,Ariane 5G,2005-049B,28912,Meteorological spacecraft; intended primarily to support the National Meteorologicla Services (NMS) of Member States; planned system of 3 satellites.,"['12_08', 'JM']",http://www.eumetsat.int/idcplg?IdcService=SS_GET_PAGE&nodeId=114&l=en  http://nssdc.gsfc.nasa.gov/spacewarn/spx626.html
1728,Mexsat-3 (Mexsat Bicentenario),Mexsat-3,Mexico,Mexico,Mexico Telecomm,"['Government', 'Military']",Communications,[],GEO,,114.9,35784.0,35791.0,8.302200083022,0.07,1436.16,2900.0,,3500.0,2012-12-19 00:00:00,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Atlas 5 ECA,2012-075B,39035,Start of 3-satellite constellation.,SC - ASCR,http://www.boeing.com/assets/pdf/defense-space/space/bss/factsheets/702/mexsat/MEXSAT_product_card.pdf  http://boeing.mediaroom.com/index.php?s=43&item=2540 http://space50.kosmo.cz/s40/2012/I075B.HTM
1734,"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",99,USA,USA,US Air Force,Military,Communications,[],GEO,,38.9,35754.0,35819.0,0.0007709368662009,5.99,1436.13,4536.0,,8000.0,1994-02-07 00:00:00,10.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4A,1994-009A,22988,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""","['12_08', 'JM']",http://www.losangeles.af.mil.SMC/MC/mcm.html  http://www.af.mil/factsheets/factsheet.asp?fsID=118 http://www.yenra.com/milstar/ http://www.fas.org/spp/military/program/com/milstar2.htm http://www.ast.lmco.com/milstar/satellite.shtml http://www.asd-network.com/press_detail/19399/1st_LM-Built_Milstar_Satellite_Marks_15_Years_On_Orbit.htm
1735,"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",157,USA,USA,US Air Force,Military,Communications,[],GEO,,67.9,35764.0,35768.0,4.746535029428517,4.5,1435.04,4536.0,,8000.0,2001-02-27 00:00:00,12.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4B,2001-009A,26715,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JMSatcat10_06,http://www.losangeles.af.mil.SMC/MC/mcm.html  http://www.af.mil/factsheets/factsheet.asp?fsID=118 http://www.yenra.com/milstar/ http://www.fas.org/spp/military/program/com/milstar2.htm http://www.ast.lmco.com/milstar/satellite.shtml
1736,"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",164,USA,USA,US Air Force,Military,Communications,[],GEO,,3.92,35753.0,35820.0,0.0007946580005455,3.45,1436.12,4536.0,,8000.0,2002-01-16 00:00:00,12.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4B,2002-001A,27168,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""","['304', 'JM']",http://www.losangeles.af.mil.SMC/MC/mcm.html  http://www.af.mil/factsheets/factsheet.asp?fsID=118 http://www.yenra.com/milstar/ http://www.fas.org/spp/military/program/com/milstar2.htm http://www.ast.lmco.com/milstar/satellite.shtml
1737,Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),169,USA,USA,US Air Force,Military,Communications,[],GEO,,89.98,35768.0,35806.0,0.0004506962070356,0.82,1436.13,4536.0,,8000.0,2003-04-08 00:00:00,12.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4B,2003-012A,27711,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""","['12_08', 'JM']",http://www.losangeles.af.mil.SMC/MC/mcm.html  http://www.af.mil/factsheets/factsheet.asp?fsID=118 http://www.yenra.com/milstar/ http://www.fas.org/spp/military/program/com/milstar2.htm http://www.ast.lmco.com/milstar/satellite.shtml
1747,MOST (Microvariability & Oscillations of STars),Microvariability & Oscillations of Stars (MOST),Canada,Canada,Canadian Space Agency,Government,Space Science,[],LEO,Sun-Synchronous,0.0,817.0,832.0,0.0010424629925637,98.7,101.4,53.0,53.0,35.0,2003-06-30 00:00:00,1.0,"['Dynacon Inc.', 'University of British Columbia', 'University of Toronto Institute for Aerospace Studies']",Canada,Plesetsk Cosmodrome,Rokot,2003-031D,27843,"Canada's space telescope, dubbed the ""Humble Telescope""; minisatellite; monitor brightness variations in stars.","['12', 'www.satellitedebris.net 12']",http://www.utias-sfl.net/microsatellites/MOST/MOSTDesign.html  http://nssdc.gsfc.nasa.gov/spacewarn/spx597.html http://wombat.astro.ubc.ca/MOST/overview.html
1751,"MSAT 2 (AMSC-1, ACTel-1)",MSAT 2,USA,"['Canada', 'USA']",Mobile Satellite Ventures,Commercial,Communications,[],GEO,,101.21,35776.0,35796.0,0.0002372141569408,4.02,1436.09,2850.0,1330.0,3300.0,1995-04-07 00:00:00,10.0,Hughes Space and Communications Co. ,USA,Cape Canaveral,Atlas 2A,1995-019A,23553,Wireless network for North America,"['12_08', 'JM']",www.heavens.above.com  http:/sat.nd.com/geo      http://www.analsis.com/satellite/profiles/motient.htm http://www.rolfisoft.de/html/satdb_1995_eng.html http://www.msvlp.com/about/space_segment.cfm http://planet4589.org/space/log/geobus0902.ok.lis
1759,Nanosat-1,Nanosat-1,Spain,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Government,Communications,[],LEO,Sun-Synchronous,0.0,654.0,659.0,0.0003557959154628,98.4,97.9,20.0,15.0,20.0,2004-12-18 00:00:00,,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Guiana Space Center,Ariane 5G,2004-049B,28493,Will maintain contact with Spanish zone in Antarctica; extremely small magnetic and solar sensors.,"['12', 'www.satellitedebris.net 12']",http://www.spacenewsfeed.co.uk/2004/19December2004_27.html http://www.satnews.com/stories11/873.htm http://www.lib.cas.cz/knav/space.40/2004/049B.HTM
1760,Nanosat-1B,Nanosat-1B,NR,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Government,"['Communications', 'Technology Development']",[],LEO,Sun-Synchronous,0.0,583.0,672.0,0.0063594140764558,98.1,97.3,20.0,15.0,20.0,2009-07-29 00:00:00,,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Baikonur Cosmodrome,Dnepr,2009-041E,35685,Technology demonstration and communication.,"['12', 'www.satellitedebris.net 12']",http://nssdc.gsfc.nasa.gov/spacewarn/spx669.html
1767,"Navstar GPS IIF-10 (Navstar SVN 72, PRN 8, USA 262)",USA 262,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20446.0,20459.0,0.0002423338614968,54.9,728.96,1630.0,,1136.0,2015-07-15 00:00:00,12.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-033A,40730,[],"['8_15', 'JM']",http://www.navcen.uscg.gov/?Do=constellationStatus  http://www.nasaspaceflight.com/2015/07/ula-atlas-v-gps-iif10-launch/
1770,"Navstar GPS IIF-3 (Navstar SVN 65, PRN USA 24, USA 239)",USA 239,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20174.0,20191.0,0.0003201205159589,54.95,718.0,1630.0,,1136.0,2012-10-04 00:00:00,10.0,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2012-053A,38833,Will replace 2A-21.,SC - ASCR,http://space50.kosmo.cz/s40/2012/1053A.HTM  http://www.cbsnews.com/network/news/space/home/spacenews/files/100412_gps.html
1771,"Navstar GPS IIF-4 (Navstar SVN 23, PRN USA 27, USA 24",USA 66,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20184.0,20247.0,0.0011848564066878,55.09,719.32,1630.0,,1136.0,2013-05-15 00:00:00,10.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2013-023A,39166,[],SC - ASCR,http://www.gps.gov/  http://www.space.com/19794-navstar.html http://space50.kosmo.cz/s40/2013/I023A.HTM
1772,"Navstar GPS IIF-5 (Navstar SVN 64, PRN 30, USA 248)",USA 248,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20457.0,20469.0,0.0002236052621771,54.98,729.39,1630.0,,1136.0,2014-02-21 00:00:00,10.0,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-008A,39533,[],ZARYA,http://www.space.com/24767-gps-satellite-launch-success-delta4-rocket.html  http://www.gps.gov/systems/gps/space/
1773,"Navstar GPS IIF-6 (Navstar SVN 67, PRN 06, USA 251)",USA 251,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20174.0,20188.0,0.0002636435539151,55.05,717.92,1630.0,,1136.0,2014-05-17 00:00:00,10.0,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-026A,39741,[],SC - ASCR,http://space50.kosmo.cz/s40/2014/I026A.HTM  http://www.zarya.info/Diaries/Launches/Launches.php?year=2014 ftp://tycho.usno.navy.mil/pub/gps/gpstd.txt
1774,"Navstar GPS IIF-7 (Navstar SVN 68, PRN 09, USA 256)",USA 256,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20471.0,20476.0,9.31324156685976,54.92,729.0,1630.0,,1136.0,2014-08-02 00:00:00,10.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-045A,40105,[],ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014
1775,"Navstar GPS IIF-8 (Navstar SVN 69, PRN 03, USA 258)",USA 258,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20155.0,20211.0,0.0010544947840168,54.97,718.02,1630.0,,1136.0,2014-10-29 00:00:00,10.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-068A,40294,[],ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014
1776,"Navstar GPS IIF-9 (Navstar SVN 71, PRN 26, USA 260)",USA 260,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20445.0,20469.0,0.0004473105453461,55.0,729.14,1630.0,,1136.0,2015-03-25 00:00:00,12.0,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4M,2015-013A,40534,[],"['8_15', 'JM']",
1779,"Navstar GPS III-2 (Navstar SVN 75, PRN 18, USA 293)",USA 293,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20188.0,20203.0,0.0002823210555043,55.1,718.01,2300.0,,1136.0,2019-08-22 00:00:00,15.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Delta 4,2019-056A,44506,[],"['11_19', 'JMSatcat']",https://spaceflightnow.com/2019/08/22/five-more-delta-4-heavy-flights-in-ula-backlog-after-final-single-stick-launch/ https://www.gpsworld.com/gps-constellation-changes-with-addition-of-second-gps-iii-satellite/
1780,"Navstar GPS III-3 (Navstar SVN 76, USA 304)",USA 304,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20165.0,20199.0,0.0006402530882796,55.06,717.9,2300.0,,1136.0,2020-06-30 00:00:00,15.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Falcon 9,2020-041A,45854,[],ZARYA,https://spaceflightnow.com/2020/06/30/spacex-launches-its-first-mission-for-u-s-space-force/
1781,"Navstar GPS III-4 (Navstar SVN 77, PRN 14, USA 309)",USA 309,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20178.0,20186.0,0.0001506477854775,55.0,717.9,2300.0,,1136.0,2020-11-05 00:00:00,15.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Falcon 9,2020-078A,46826,[],"['12_20', 'JMSatcat']",https://spaceflightnow.com/2020/11/06/spacex-launches-gps-navigation-satellite-from-cape-canaveral/ https://planet4589.org/space/gcat/data/cat/satcat.html
1782,"Navstar GPS III-5 (Navstar SVN 78, PRN 11, USA 319)",USA 319,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20168.0,20198.0,0.000564907920009,55.0,717.9,2300.0,,1136.0,2021-06-17 00:00:00,15.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Falcon 9,2021-054A,48859,[],"['9_17', 'JMSatcat']",https://spaceflightnow.com/2021/06/17/spacex-launches-first-national-security-mission-on-reused-commercial-rocket/
1784,"Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132)",USA 132,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20123.0,20247.0,0.0023347768781773,54.9,718.09,2217.0,980.0,1136.0,1997-07-23 00:00:00,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,1997-035A,24876,[],JMSatcat304,ftp://tycho.usno.navy.mil/pub/gps/gpstd.txt  http://gauss.gge.unb.ca/NavstarGPSConstelStatus.html http://www.af.mil/factsheets/factsheet.asp?fsID=119 http://www.planet4589.org/space/jsr/back/news.430 http://www.globalsecurity.org/space/library/report/enviro/MLV2REA.pdf
1785,"Navstar GPS IIR-3 (Navstar SVN 46, PRN 1, USA 145)",USA 145,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20096.0,20268.0,0.0032389273877673,53.0,717.97,2217.0,980.0,1136.0,1999-10-07 00:00:00,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,1999-055A,25933,[],JMSatcat304,ftp://tycho.usno.navy.mil/pub/gps/gpstd.txt  http://gauss.gge.unb.ca/NavstarGPSConstelStatus.html http://www.af.mil/factsheets/factsheet.asp?fsID=119 http://www.planet4589.org/space/jsr/back/news.430 http://www.globalsecurity.org/space/library/report/enviro/MLV2REA.pdf
1786,"Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150)",USA 150,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20133.0,20234.0,0.0019018208522417,54.9,718.03,2217.0,980.0,1136.0,2000-05-11 00:00:00,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-025A,26360,[],JMSatcat304,ftp://tycho.usno.navy.mil/pub/gps/gpstd.txt  http://gauss.gge.unb.ca/NavstarGPSConstelStatus.html http://www.af.mil/factsheets/factsheet.asp?fsID=119 http://www.planet4589.org/space/jsr/back/news.430 http://www.globalsecurity.org/space/library/report/enviro/MLV2REA.pdf
1787,"Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151)",USA 151,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20184.0,20427.0,0.0045547412419635,55.0,722.98,2217.0,980.0,1136.0,2000-07-16 00:00:00,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-040A,26407,[],JMSatcat304,ftp://tycho.usno.navy.mil/pub/gps/gpstd.txt  http://gauss.gge.unb.ca/NavstarGPSConstelStatus.html http://www.af.mil/factsheets/factsheet.asp?fsID=119 http://www.planet4589.org/space/jsr/back/news.430 http://www.globalsecurity.org/space/library/report/enviro/MLV2REA.pdf
1788,"Navstar GPS IIR-6 (Navstar SVN 41, PRN 22, USA 154)",USA 154,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20177.0,20498.0,0.006009547879809,55.0,724.28,2217.0,980.0,1136.0,2000-11-10 00:00:00,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-071A,26605,[],JMSatcat304,ftp://tycho.usno.navy.mil/pub/gps/gpstd.txt  http://gauss.gge.unb.ca/NavstarGPSConstelStatus.html http://www.af.mil/factsheets/factsheet.asp?fsID=119 http://www.planet4589.org/space/jsr/back/news.430 http://www.globalsecurity.org/space/library/report/enviro/MLV2REA.pdf http://www.losangeles.af.mil/smc/pa/fact_sheets/gps_fs.htm
1789,"Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156)",USA 156,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20104.0,20266.0,0.0030502730182639,55.0,718.09,2217.0,980.0,1136.0,2001-01-30 00:00:00,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,2001-004A,26690,[],JMSatcat304,ftp://tycho.usno.navy.mil/pub/gps/gpstd.txt  http://gauss.gge.unb.ca/NavstarGPSConstelStatus.html http://www.af.mil/factsheets/factsheet.asp?fsID=119 http://www.planet4589.org/space/jsr/back/news.430 http://www.globalsecurity.org/space/library/report/enviro/MLV2REA.pdf
1790,"Navstar GPS IIR-8 (Navstar SVN 56, PRN 16, USA 166)",USA 166,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20155.0,20344.0,0.0035500291139953,55.0,720.71,2217.0,980.0,1136.0,2003-01-29 00:00:00,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-005A,27663,[],JMSatcat304,ftp://tycho.usno.navy.mil/pub/gps/gpstd.txt   http://www.af.mil/factsheets/factsheet.asp?fsID=119 http://www.planet4589.org/space/jsr/back/news.430 http://www.globalsecurity.org/space/library/report/enviro/MLV2REA.pdf
1791,"Navstar GPS IIR-9 (Navstar SVN 45, PRN 21, USA 168)",USA 168,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20063.0,20433.0,0.0069501840859568,54.9,720.65,2217.0,980.0,1136.0,2003-03-31 00:00:00,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-010A,27704,[],JMSatcat304,ftp://tycho.usno.navy.mil/pub/gps/gpstd.txt   http://www.af.mil/factsheets/factsheet.asp?fsID=119 http://www.planet4589.org/space/jsr/back/news.430 http://www.globalsecurity.org/space/library/report/enviro/MLV2REA.pdf
1794,"Navstar GPS IIR-M-4 (Navstar SVN 55, PRN 15, USA 196)",USA 196,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20149.0,20213.0,0.0012052276750404,54.8,717.93,2217.0,980.0,1136.0,2007-10-17 00:00:00,10.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Delta 2,2007-047A,32260,[],"['2_', 'JMSatcat']",http://tycho.usno.navy.mil/gpsinfo.html  http://www.lib.cas.cz/space.40/2007/047A.HTM
1796,"Navstar GPS IIR-M-6 (Navstar SVN 48, PRN 07, USA 201)",USA 201,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20135.0,20152.0,0.0003205913968355,55.1,716.4,2217.0,980.0,1136.0,2008-03-15 00:00:00,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,2008-012A,32711,[],SC - ASCR,ftp://tycho.usno.navy.mil/pub/gps/gpstd.txt  http://nssdc.gsfc.nasa.gov/spacewarn/spx653.html
1797,"Navstar GPS IIR-M-8 (Navstar SVN 50, PRN 05, USA 206)",USA 206,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20160.0,20209.0,0.0009226308158692,55.12,718.07,2059.0,980.0,1136.0,2009-08-17 00:00:00,10.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Delta 2,2009-043A,35752,[],SC - ASCR,http://tycho.usno.navy.mil/gpscurr.html
1798,"Navstar GPS IIR-M-USA 1 (Navstar SVN 53, PRN 17, USA 183)",USA 183,USA,USA,"['DoD', 'US Air Force']","['Commercial', 'Military']","['Global Positioning', 'Navigation']",[],MEO,Non-Polar Inclined,0.0,20142.0,20221.0,0.0014876748959569,55.08,717.95,2217.0,980.0,1136.0,2005-09-26 00:00:00,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,2005-038A,28874,Two more military and one civilian channels that earlier versions.,SC - ASCR,http://www.spaceflightnow.com/delta/d313a/  http://tycho.usno.navy.mil/gps.html http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2005/038A.HTM http://www.lib.cas.cz/www/space.40/2005/038A.HTM http://www.globalsecurity.org/space/library/report/enviro/MLV2REA.pdf http://www.losangeles.af.mil/smc/pa/fact_sheets/gps_fs.htm
